axe,horizon,pointe,n_ouvert,ferme,n_ferme,rouvre
OUIGO_TC,8,pointe,0,0,1145,0
OUIGO_TC,9,creuse,0,0,923,0
OUIGO_TC,9,pointe,0,0,1201,0
OUIGO_TC,10,creuse,0,0,950,0
OUIGO_TC,10,pointe,0,0,1292,0
OUIGO_TC,11,creuse,0,0,1017,0
OUIGO_TC,11,pointe,0,0,1355,0
OUIGO_TC,12,creuse,0,0,958,0
OUIGO_TC,12,pointe,0,0,1281,0
OUIGO_TC,13,creuse,0,0,979,0
OUIGO_TC,13,pointe,0,0,1226,0
OUIGO_TC,14,creuse,0,0,947,0
OUIGO_TC,14,pointe,0,0,1127,0
OUIGO_TC,15,creuse,0,0,950,0
OUIGO_TC,15,pointe,0,0,1129,0
OUIGO_TC,16,creuse,0,0,955,0
OUIGO_TC,16,pointe,0,0,1188,0
OUIGO_TC,17,creuse,0,0,948,0
OUIGO_TC,17,pointe,0,0,1232,0
OUIGO_TC,18,creuse,0,0,988,0
OUIGO_TC,18,pointe,0,0,1257,0
OUIGO_TC,19,creuse,0,0,951,0
OUIGO_TC,19,pointe,0,0,1222,0
OUIGO_TC,20,creuse,0,0,924,0
OUIGO_TC,20,pointe,0,0,1131,0
OUIGO_TC,21,creuse,0,0,892,0
OUIGO_TC,21,pointe,0,0,1032,0
OUIGO_TC,22,creuse,0,0,895,0
OUIGO_TC,22,pointe,0,0,1038,0
OUIGO_TC,23,creuse,0,0,904,0
OUIGO_TC,23,pointe,0,0,1101,0
OUIGO_TC,24,creuse,0,0,887,0
OUIGO_TC,24,pointe,0,0,1131,0
OUIGO_TC,25,creuse,0,0,929,0
OUIGO_TC,25,pointe,0,0,1126,0
OUIGO_TC,26,creuse,0,0,886,0
OUIGO_TC,26,pointe,0,0,1101,0
OUIGO_TC,27,creuse,0,0,893,0
OUIGO_TC,27,pointe,0,0,1057,0
OUIGO_TC,28,creuse,0,0,888,0
OUIGO_TC,28,pointe,0,0,1009,0
OUIGO_TC,29,creuse,0,0,891,0
OUIGO_TC,29,pointe,0,0,1015,0
OUIGO_TC,30,creuse,0,0,912,0
OUIGO_TC,30,pointe,0,0,1097,0
OUIGO_atlantique,1,creuse,0,0,1071,0
OUIGO_atlantique,1,pointe,0,0,1103,0
OUIGO_atlantique,2,creuse,0,0,1074,0
OUIGO_atlantique,2,pointe,0,0,1126,0
OUIGO_atlantique,3,creuse,0,0,1071,0
OUIGO_atlantique,3,pointe,0,0,1138,0
OUIGO_atlantique,4,creuse,0,0,1075,0
OUIGO_atlantique,4,pointe,0,0,1154,0
OUIGO_atlantique,5,creuse,0,0,1071,0
OUIGO_atlantique,5,pointe,0,0,1153,0
OUIGO_atlantique,6,creuse,0,0,1066,0
OUIGO_atlantique,6,pointe,0,0,1153,0
OUIGO_atlantique,7,creuse,0,0,1057,0
OUIGO_atlantique,7,pointe,0,0,1137,0
OUIGO_atlantique,8,creuse,0,0,1048,0
OUIGO_atlantique,8,pointe,0,0,1121,0
OUIGO_atlantique,9,creuse,0,0,1046,0
OUIGO_atlantique,9,pointe,0,0,1138,0
OUIGO_atlantique,10,creuse,0,0,1050,0
OUIGO_atlantique,10,pointe,0,0,1154,0
OUIGO_atlantique,11,creuse,0,0,1054,0
OUIGO_atlantique,11,pointe,0,0,1170,0
OUIGO_atlantique,12,creuse,0,0,1050,0
OUIGO_atlantique,12,pointe,0,0,1169,0
OUIGO_atlantique,13,creuse,0,0,1048,0
OUIGO_atlantique,13,pointe,0,0,1157,0
OUIGO_atlantique,14,creuse,0,0,1039,0
OUIGO_atlantique,14,pointe,0,0,1141,0
OUIGO_atlantique,15,creuse,0,0,1035,0
OUIGO_atlantique,15,pointe,0,0,1125,0
OUIGO_atlantique,16,creuse,0,0,1038,0
OUIGO_atlantique,16,pointe,0,0,1142,0
OUIGO_atlantique,17,creuse,0,0,1047,0
OUIGO_atlantique,17,pointe,0,0,1158,0
OUIGO_atlantique,18,creuse,0,0,1056,0
OUIGO_atlantique,18,pointe,0,0,1174,0
OUIGO_atlantique,19,creuse,0,0,1057,0
OUIGO_atlantique,19,pointe,0,0,1173,0
OUIGO_atlantique,20,creuse,0,0,1048,0
OUIGO_atlantique,20,pointe,0,0,1157,0
OUIGO_atlantique,21,creuse,0,0,1039,0
OUIGO_atlantique,21,pointe,0,0,1141,0
OUIGO_atlantique,22,creuse,0,0,1035,0
OUIGO_atlantique,22,pointe,0,0,1125,0
OUIGO_atlantique,23,creuse,0,0,1038,0
OUIGO_atlantique,23,pointe,0,0,1142,0
OUIGO_atlantique,24,creuse,0,0,1038,0
