train_no,origine_iata,destination_iata,bande,n_ouvert,ferme,n_ferme,rouvre
108300,FRAFW,FRXSH,plateau,0,0,7,0
108300,FRAFW,FRXSH,proche,0,0,5,0
108300,FRAFW,FRXSH,relance,0,0,1,0
108359,FRAFW,FRXSH,bascule,0,0,3,0
108359,FRAFW,FRXSH,derniers_jours,0,0,9,0
108359,FRAFW,FRXSH,imminent,0,0,14,0
108359,FRAFW,FRXSH,intervalle,0,0,21,0
108359,FRAFW,FRXSH,lointain,0,0,105,0
108359,FRAFW,FRXSH,moyen,0,0,49,0
108359,FRAFW,FRXSH,ouverture,0,0,10,0
108359,FRAFW,FRXSH,plateau,0,0,51,0
108359,FRAFW,FRXSH,proche,0,0,35,0
108359,FRAFW,FRXSH,relance,0,0,3,0
108440,FRAFW,FRXSH,bascule,0,0,3,0
108440,FRAFW,FRXSH,derniers_jours,0,0,9,0
108440,FRAFW,FRXSH,imminent,0,0,14,0
108440,FRAFW,FRXSH,intervalle,0,0,21,0
108440,FRAFW,FRXSH,lointain,0,0,105,0
108440,FRAFW,FRXSH,moyen,0,0,49,0
108440,FRAFW,FRXSH,ouverture,0,0,10,0
108440,FRAFW,FRXSH,plateau,0,0,51,0
108440,FRAFW,FRXSH,proche,0,0,35,0
108440,FRAFW,FRXSH,relance,0,0,3,0
108444,FRAFW,FRXSH,bascule,0,0,2,0
108444,FRAFW,FRXSH,derniers_jours,0,0,1,0
108444,FRAFW,FRXSH,imminent,0,0,4,0
108444,FRAFW,FRXSH,intervalle,0,0,6,0
108444,FRAFW,FRXSH,lointain,0,0,30,0
108444,FRAFW,FRXSH,moyen,0,0,14,0
108444,FRAFW,FRXSH,ouverture,0,0,2,0
108444,FRAFW,FRXSH,plateau,0,0,13,0
108444,FRAFW,FRXSH,proche,0,0,10,0
108444,FRAFW,FRXSH,relance,0,0,2,0
12102,FRAEG,FRPST,bascule,0,0,2,0
12102,FRAEG,FRPST,derniers_jours,0,0,2,0
12102,FRAEG,FRPST,imminent,2,0,2,0
12102,FRAEG,FRPST,intervalle,3,0,3,0
12102,FRAEG,FRPST,lointain,0,0,30,0
12102,FRAEG,FRPST,moyen,0,0,14,1
12102,FRAEG,FRPST,ouverture,0,0,3,0
